Organisation Name,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
Lymm Community Energy Ltd,https://lymmcommunityenergy.org.uk/,https://communityenergyengland.org/files/img_cache/2063/340_260_1671201075_LymmCommunityEnergy.jpg?1671218425,Lymm Community Energy Limited (LCE) is a Community Benefit Society (CBS) established in December 2014 to enable local people and organisations to invest in renewable energy installations that benefit the local community.,,WA13 0JB,53.381093,-2.476406
MaidEnergy,https://www.maidenergy.coop/,https://communityenergyengland.org/files/img_cache/2002/340_260_1669907107_MaidEnergy.png?1669907204,"MaidEnergy is a renewable energy Society, created to tackle the climate crisis and support the growth of locally generated and locally owned renewable energy in Maidenhead, Windsor, Egham, Staines and the surrounding area.  We are a community business, democratically run, with an asset lock to preserve the solar panels or other energy generation infrastructure for the benefit of the community.

MaidEnergy works by:
- Finding community buildings that are interested in cutting carbon emissions
- Raising community finance from people in the local area and throughout the UK, through the issuing and managing of community share schemes, to fund installations
- Providing all relevant legal documents and arranging grid export capability
- Managing the installation and all ongoing maintenance
- Working with sites to maximize financial, environmental, and community benefit

The school and community building sites we have identified will benefit from a long-term secure renewable energy supply, at a fixed low cost.  They are also be granted shares in MaidEnergy and benefit from any surplus generated by the business. ",,SL6 1RU,51.522,-0.715
Make It Macclesfield CIC,,,,,,,
Malvern Community Energy Co-operative,https://malverncommunityenergy.org/,https://malverncommunityenergy.org/wp-content/uploads/2016/03/cropped-mceh.png,"Malvern Community Energy Co-operative is a community-owned initiative bringing members of the public opportunities to invest locally in sustainable energy. We aim to provide clean and sustainable alternatives to fossil fuels in the Malvern area.

In the face of global environmental issues, we believe that local communities have the power to play a meaningful part in promoting sustainable living. We are here to invest in the future and benefit generations to come by helping to establish a sustainable energy infrastructure in Malvern. Not only will this improve the environment but also enhance the local economy.","7 Arosa Dr, Malvern",WR14 3JP,52.098058,-2.314775
Marlow Energy Group,https://www.marlowenergygroup.com/,https://communityenergyengland.org/files/img_cache/2064/340_260_1671201192_Marlowenergy.jpg?1671226986,Our mission at Marlow Energy Group (MEG) is to tackle the Climate Emergency by guiding Marlow towards becoming a net-zero town. We empower the local community to confidently invest their efforts and resources in reducing energy consumption and adopting low-carbon technologies.,"9 Spinfield Lane, Marlow, Buckinghamshire",SL7 2JT,51.570968,-0.792693
Marshfield Energy Project,https://marshfieldclt.org/marshfield-community-energy-project,https://communityenergyengland.org/files/img_cache/2224/340_260_1675866702_Marshfieldcommunity.jpg?1675882052,"Following on from the OpenLV Project with WPD, which has provided us with data on the electricity consumption pattern for the village over the past couple of years, we are embarking on a new forward looking project using that data and recognising the level of interest shown by the village in reducing our impact on the environment. The new project is entitled the 'Marshfield Community Energy Project' and its high level aim is:

""Within the next five years to develop a means whereby locally generated and stored sustainable renewable energy can be used to contain the costs, to homes, businesses, and facilities within the village, of electricity supplied through the national grid - without degrading and with the aim of improving - the reliability of supply.""",,SN14 8NZ,,
Meadow Blue Community Energy,http://meadowblue-energy.org/,https://communityenergyengland.org/files/img_cache/2225/340_260_1675866732_MeadowBlue.png?1675882052,"Meadow Blue Community Energy will develop and manage renewable energy installations in Sussex for the benefit of the community and the environment. Registered as a Community Benefit Society, it is owned and run by its members, who are anticipated to be mainly Sussex residents.

Meadow Blue Community Energy represents a partnership with Communities for Renewables who manage the solar farm and two community energy cooperatives, OVESCO in Lewes and SOLESCO operating in the Arun and Chichester areas of Sussex.",,BN7 2DA,50.872483,0.011339
Mendip Energy,,,,,,,
Middleton Community Power,https://middleton.coop/MCP,https://communityenergyengland.org/files/img_cache/2551/340_260_1708700561_MiddletonCommunityPower.png?1708700564,"After rent or mortgage costs, energy bills are usually our biggest household expenses. Most people get their gas and electricity from the “Big 6” energy providers who make large profits and whose customer service often leaves a lot to be desired.

We think that a Middleton community energy company can generate local renewable energy, and keep more of what we all spend on energy circulating in the local economy, for all our benefit.

At Middleton Co-operating, we’re committed – as you can see in our Charter of Principles – to work with urgency and imagination towards a zero-carbon future.

Middleton Community Power is a group of local residents & activists that have come together to explore how we can set up a community-owned energy provision in Middleton and generate local renewable energy and to reduce carbon emissions.",,M24 4EL,53.548242,-2.201051
Mill Community Energy,,,,,,,
Mill Hill Betteshanger cic,https://www.facebook.com/people/Mill-Hill-Betteshanger-cic/100080207974997/,,"MHBcic, developer of future sustainable social housing for local people at local social rents.","15 Pittock House Freemens Way, Deal, Kent",CT14 9DW,,
Morecambe Bay Community Renewables,http://morerenewables.co.uk,https://communityenergyengland.org/files/img_cache/2227/340_260_1675866869_MORE_Renewables.png?1675882052,"MORE Renewables is a community energy organisation for the Morecambe Bay area.  We own 89 kWp of solar PV at the Lancaster Cohousing development in Halton near Lancaster and a 10 kWp solar PV and solar hot water system at Lancaster Boys and Girls Club.  Our biomass boiler at the Horton Women's Holiday Centre has now been sold to the Women's Holiday Centre.  We have funded these projects with £184,000 raised from three community share offers. Our members, over 85% of whom live in the Lancaster district, are people who have bought shares. In return for their investment members receive modest share interest, and the satisfaction that their money is being put to good use!. At least a quarter of what we pay out in share interest we give to community projects which help people to reduce their energy use and live more sustainably. ",,LA2 6ND,54.075893,-2.755807
Muswell Hill Sustainability Group,http://mhsgroup.org,https://communityenergyengland.org/files/img_cache/1998/340_260_1669825629_Muswell.png?1669859390,"Our aim is to reduce carbon emissions and waste in the Muswell Hill and surrounding areas, encouraging residents, local businesses and community groups to live more sustainably.

Membership of Muswell Hill Sustainability Group is open to anyone and we are always looking for volunteers to help with projects and campaigns, running info stalls, events and workshops.",,N10 1PP,51.594643,-0.146218
Nadder Community Energy,https://www.nadderce.org.uk/,https://communityenergyengland.org/files/img_cache/1997/340_260_1669825575_NadderCE.jpg?1669859390,"Our purpose is to provide or promote renewable energy solutions, including energy efficiency, to people living or working in and around the Nadder Valley, southwest Wiltshire. Nadder Community Energy is one of around 500 community energy groups across the UK.

To date, our core activity has been to raise funding for, install and maintain photovoltaic (PV) solar panel installations on a series of schools, farms and commercial buildings - 15 sites so far, with a generating capacity of nearly 600kWp.

We are a not-for-profit community benefit society - a cross between a business and a charity. Any surplus money we make from our business must by law be spent on good works for the local community. We were established in 2015 and are regulated by the Financial Conduct Authority.",,SP3 6HJ,51.066837,-2.083265
National Grid Electricity Distribution,http://www2.nationalgrid.com/uk/,https://communityenergyengland.org/files/img_cache/2810/340_260_1733927032_NGED.png?1733963809,"National Grid is an energy company operating in the UK and US. We deliver electricity and gas safely, reliably and efficiently to the customers and communities we serve - all while working towards a clean energy future.",,BN99 6DA,,
NEA,https://www.nea.org.uk/,https://communityenergyengland.org/files/img_cache/2228/340_260_1675866935_NEA.png?1675893099,"National Energy Action is the national charity working to end fuel poverty in England, Wales and Northern Ireland. 

We offer advice and support to fuel-poor households in England, Wales and Northern Ireland, as well as advocating for policy and regulation to protect the most vulnerable households. We also offer training to frontline staff of other organisations, to they can best support fuel-poor households.

We do not work alone. Partnerships and collaboration have been at the heart of National Energy Action for over 40 years, helping us drive better health and wellbeing outcomes for people struggling to heat their homes.",,NE1 3PA,54.965466,-1.616477
Neston Community Energy,https://nestoncommunityenergy.co.uk/,https://nestoncommunityenergy.co.uk/wp-content/uploads/2024/11/cropped-cropped-NCElogo.png,"Neston Community Energy is a community-based organisation that aims to find ways of generating electricity in the CH64 area, reducing reliance on  centralised supplies and using green energy sources to reduce emissions and benefit our community.

This system of local electrical generation is already well-established within many communities in the UK, now it's your chance to join them. Everyone can make a difference.",,CH64 9RE,53.286597,-3.061416
Newbald Parish Council,http://www.newbaldparishcouncil.gov.uk/,https://communityenergyengland.org/files/img_cache/2356/340_260_1685020037_Newbald-Parish-Council-logo-1.png?1685020065,"Newbald Parish Council is here to serve the community of Newbald. We are a very active Council seeking to preserve and enhance the character and community spirt of our picturesque village. Aside from our statutory and maintenance duties, here are some of the activities that we are currently involved in:

- Managing the Sober Hill Wind Farm Community Benefit Fund
- Exploring the feasibility of creating a country park and nature reserve in the village
- Looking at ways to calm the traffic that goes through the village
- Working with ERYC, Yorkshire Water, WWSFT and other parish councils to fight flooding
- Securing grants to plant trees and bee friendly plants throughout the village
- Running a Neighbourhood Watch Scheme and setting up cold calling zones.",,YO43 4SQ,53.822832,-0.606155
Norham Development Trust Ltd,https://www.norhamlife.co.uk/norhamdevelopmenttrust,,"For the last couple of years the residents of Norham have been trying to make Norham a better place for people to live and visit, and to ensure that we retain all the facilities, services, and shops that the village is lucky enough still to have (including a GP surgery and First School). This project was started off with the help and advice of Northumberland County Council regeneration team, who facilitated some community workshops to work out what people wanted out of the exercise.",,TD15 2LH,55.719636,-2.161991
North Kensington Community Energy,https://www.repowering.org.uk/north-kensington-community-energy/,https://communityenergyengland.org/files/img_cache/1996/340_260_1669825438_NorthKensingtonCommunityEnergy.png?1669862015,"North Kensington Community Energy (NKCE) was born in 2018, with the aim of making Kensington & Chelsea a greener and fairer borough by installing community-owned solar panels.",,SW9 9SP,51.464706,-0.115104
North Lincolnshire Community Energy,https://nlce.coop/,https://nlce.coop/wp-content/uploads/2022/07/CENL-logo-ARTWORK-v2-11.jpg,"North Lincolnshire Community Energy (NLCE) was formed through the support of a Towns Fund grant received by North Lincolnshire Council (from the Department for Levelling Up, Housing and Communities) with an aim of reducing the carbon footprint of schools and community buildings in Scunthorpe.",,DN15 6NL,53.59292,-0.64282
Northern Powergrid,http://northernpowergrid.com,https://communityenergyengland.org/files/img_cache/1919/340_260_1668590888_NPG.png?1668614738,,,NE1 6AF,,
Norwich Climate CIC,https://ourpower.org.uk/,https://ourpower.org.uk/wp-content/uploads/2024/09/OurPowerLogo.png,"We’re a new community-led project funded by Norwich Climate CIC, and operating under the oversight of Norwich Climate Commission.

We’re working with trusted members of our community to reduce energy usage and decarbonise homes. By doing so, we aim to reduce energy bills, offer you more control over your energy usage and support our planet. In short, we’re working with the communities of Norwich and Norfolk to bring power back into the hands of everyday people like you and me.","The Enterprise Centre, University Of East Anglia, Norwich",NR4 7TJ,52.622369,1.241391
One Home,https://onehome.org.uk/,https://communityenergyengland.org/files/img_cache/1992/340_260_1716295794_OneHome.png?1716297581,"We help UK households adapt to a low cost, low carbon lifestyle and extreme weather events.

Every donation to One Home will help us to continue our vital work advocating to protect people, pets and our planet by providing essential information on climate solutions to citizens.",,BA5 2PQ,51.209466,-2.649482
Optimistic Foundation CIC / POWER STATION,https://hilarypowell.site/optimistic-foundation#,https://communityenergyengland.org/files/img_cache/2894/340_260_1744707448_powerstationlogo.jpg?1744842368,"At the core of Optimistic are the practices of filmmaker and musician Dan Edelstynand artist Hilary Powell. We have worked alongside each other since moving into a breeze block studio in Hackney Wick, East London as the London 2012 Olympic development began. We have been assistant, cinematographer, designer, actor, producer, director on each others work through this time in shared optimism and political awakening.  Through our last project ""Bank Job"" we came together to create a platform to investigate and tackle urgent economic, philosophical and social issues of our time through anarchic, joyful cultural production. We bring the community into the heart of the production process, strengthen marginal voices and bring critical issues into mainstream debate through provocative cultural action.","107 Lynmouth Road, London, Greater London",E17 8AG,,
Orchard Community Energy,https://orchardcommunityenergy.org/,https://communityenergyengland.org/files/img_cache/1991/340_260_1669825123_orchardcommunitye48AA6E3.jpg?1669825128,"We are a community energy society serving Swale and Medway. We develop community-owned renewable energy, low carbon and energy efficiency projects. Our profits support eligible projects by local charities.",,SE1 7PB,51.5025,-0.119384
Otley Energy Co,https://otleyenergy.co.uk/,https://otleyenergy.co.uk/wp-content/uploads/2023/01/Otley-energy-power-from-the-people-logo-clean.png,,,LS21 1EZ,53.905234,-1.691339
Our Community Enterprise CIC,https://www.ourcommunityenterprise.co.uk/,https://communityenergyengland.org/files/img_cache/2522/340_260_1703075835_OCE-logo.png?1703077004,"We are proud to be an employee owned social enterprise. We offer an affordable and highly effective consultancy service for people and groups that want to make a positive difference.

From fundraising to business planning and bid readiness to project evaluation, we offer the capacity and expertise that you need to succeed in these challenging times.

We are lucky to work with inspirational people across the UK as they strengthen their communities, improve wellbeing and creating sustainable environments. People choose to work with us because we are really good at what we do; see what our clients say about us and learn more about how our support helps them do great things.",,RG4 8RH,51.482301,-0.966107
Ouse Valley Energy Services Company,http://ovesco.co.uk,https://communityenergyengland.org/files/img_cache/2229/340_260_1675867052_Ovesco.png?1675898398,"We develop community-owned renewable energy in the Lewes district and across East Sussex to reduce our local carbon footprint and lower our dependence on imported energy. We do this in partnership with schools, businesses and community groups.

Currently we have 14 sites with rooftop solar panels and a 5MW solar farm called Meadow Blue.

We raise money to fund these projects through community share offers so that local people can have a stake in what we do. We have around 410 investors from the Lewes district and its surroundings who have invested over £600,000 and receive interest payments annually.

We contribute surplus funds, and apply for grants, to promote and support energy efficiency in the area, as a community benefit and as a means to reduce dependency on fossil fuels. These include advice to households on insulation, a feasibility study for district heating, mentoring of those setting up similar community enterprises, fact-finding visits to existing installations.",,BN7 2DA,50.872483,0.011339
Ovo Energy Ltd,,https://communityenergyengland.org/files/img_cache/2210/340_260_1675760276_OVO.jpg?1675760284,,,,,
Peakirk Climate Emergency Group,https://www.peakirkvillage.co.uk/parish-council/peakirk-climate-emergency-group/,https://communityenergyengland.org/files/img_cache/2513/340_260_1701854692_Peakirk.png?1701854696,"Your Parish Council recognises that without concerted action we will all suffer the consequences of damage to the climate. Yes, Peakirk is a small cog in the international wheel but we can make a contribution and should for the protection of future generations of our families.

What are we doing?

- Set up the Peakirk Climate Emergency Group (PCEG). Meets monthly online
- Working with neighbouring Parishes on a common agenda
- Joined the John Clare Nature Recovery Project",,PE6 7NG,52.643535,-0.272893
Pennine Community Power,http://powerinthecommunity.wordpress.com,https://communityenergyengland.org/files/img_cache/1990/340_260_1669825040_Pennine_Community_Power_logo.png?1669834493,"Pennine Community Power is a Community Benefit Society registered with the Financial Conduct Authority.

Pennine Community Power was started in 2012, by members of the community in the upper Calder Valley and particularly inspired and supported by Blackshaw Environmental Action Team.","Warcock Hill Barn, Long Causeway, Blackshaw Head, Hebden Bridge, West Yorkshire",HX7 7JB,53.7442,-2.082188
Plugyy Energy  Solutions,https://www.plugyy.com/,https://communityenergyengland.org/files/img_cache/2924/340_260_1749628232_Plugyy_Tag.jpg?1749628287,"Discover Plugyy Solutions LTD expert renewable energy and EV charging solutions for businesses, communities, and developers. Benefit from over 20 years' experience delivering sustainable power, decarbonisation, and energy innovation.",,DE1 3NT,,
Plymouth Energy Community Trust,http://plymouthenergycommunity.com,https://communityenergyengland.org/files/img_cache/1988/340_260_1669824975_PlymouthEnergyCommunity.jpg?1669834493,"At Plymouth Energy Community, we empower our community to create a fair, affordable, zero carbon energy system with local people at its heart.

We are a charity and a social enterprise, with a cooperative ethos. Our family of organisations enables community members to take leadership on local solutions to the climate emergency and the energy transition. 

We give local people ownership in positive solutions like clean renewable energy generation and zero carbon, affordable homes. We provide free energy advice for anyone struggling with their bills.",,PL1 3HN,50.369485,-4.157106
Pomona Solar Co-Operative Ltd,http://pomonasolar.org.uk,https://communityenergyengland.org/files/img_cache/1987/340_260_1669824950_Pomonalogo.png?1669834493,"Pomona Solar Co-operative is harnesssing the power of the sun for the benefit of people in Herefordshire.

We currently have 300kW of solar panels, installed in 2015, silently generating emission-free electricity that is being sold direct to some local businesses, with surplus being exported to the grid.  Each year these panels generate about 280,000 kWh (284,198 kWh in 2019) and we expect them to do the same for many years to come. The installation is owned by our approximately 100 current members.

We are now looking to add more installations around the county, partnering with local communities and businesses that might have good rooftop sites. How about your village hall? Or school? Or a large workshop or warehouse, farm building or factory? We’ll be adding information about how to partner with us very soon.

Our arrays allow Herefordshire to generate its own clean power without needing to import fossil fuel. They provide a local and ethical investment opportunity for local people, helping to diversify the rural economy, keeping jobs and savings locally, as well as improving energy security and helping reduce Herefordshire’s carbon footprint.",,HR6 9LE,52.245009,-2.934436
Possible,https://www.wearepossible.org/,https://communityenergyengland.org/files/img_cache/1986/340_260_1669824920_Possible.png?1669825367,"From plugging solar into railways, to putting a repair hub on every High Street, our vision is a zero carbon country created by, and for, everyone in the UK.

An exciting climate friendly future is taking shape. Help us create it.",,NW1 7NN,51.5368,-0.141673
Power for Good,https://power-for-good.org/,https://communityenergyengland.org/files/img_cache/1985/340_260_1669824894_PowerforGood.png?1669825367,"Power for Good is a Community Benefit Society, owned and controlled by our members. Our purpose is to assist in raising funds for the installation of renewable energy measures on places of worship. This is achieved through launching community share offers. Once the capital has been raised, we lease the airspace from the host building, and commission.",,B73 6LD,52.553863,-1.836215
Power For People,https://powerforpeople.org.uk/,https://communityenergyengland.org/files/img_cache/2862/340_260_1740581234_PowerforPeople.png?1740581236,"We are a not-for-profit organisation, campaigning for the UK to rapidly transition to 100% clean energy and for this to benefit local communities.",,NW1 7NN,51.5368,-0.141673
Power To Change,https://www.powertochange.org.uk/,https://communityenergyengland.org/files/img_cache/2231/340_260_1675867548_Powertochange.jpg?1676051319,"We turn bold ideas into action so communities have the power to change what matters to them. 

We know community business works to build stronger communities and better places to live. We’ve seen people create resilient and prosperous local economies when power is in community hands. We also know the barriers that stand in the way of their success.  

We’re using our experience to bring partners together to do, test and learn what works. We’re shaping the conditions for community business to thrive. ",,SE1 6FE,51.49855,-0.104257
Power Up North London,https://powerupnorthlondon.org/,https://communityenergyengland.org/files/img_cache/2232/340_260_1675867584_PowerUpNorthLondon.jpg?1676051319,"We are a group of committed volunteers in North London who work with local communities to fund, install, own and manage their own low-carbon energy solutions. We believe in the power of collective action to tackle the impacts of climate change and to build resilient communities.",,NW1 8NP,51.540899,-0.143265
Project Purple - Hovingham,https://www.project-purple.org.uk/,https://communityenergyengland.org/files/img_cache/2221/340_260_1675866396_Hovingham_header.png?1675866596,"Project Purple is a community action group dedicated to making Hovingham carbon neutral by the 2030s. Together, we believe we can reach this goal by sharing ideas and encouraging residents and local businesses to reduce our environmental impact. Our three focus areas are:

- Recycling, Reusing, and Repairing More
- Reducing Our Daily Energy Demand
- Developing Our Own Renewable Energy Sources

Here are some of our community-driven actions dedicated to raising climate change awareness and offering actionable solutions. Through initiatives like the Repair Cafe, Community Hub, Recycling Centre, and the Library of Things, sustainable living is made accessible. The EV Charger and Bike Station promote greener transportation, while Thermal Imaging surveys and advice on Air Source Heating and Solar Panels enhance home efficiency. The Wilding projects fosters biodiversity, demonstrating the power of local action in combating climate change.

Join us in making a positive change for our community and the planet!",,YO62 4LF,54.173616,-0.978367
Pure Leapfrog,http://pureleapfrog.org,,"Pure Leapfrog draws on its expertise in Carbon, Sustainable Finance, Energy Systems, and Natural Capital, to evolve new products, services and business models that are predicated on community ownership structures and that promote our goals of sustainability and decarbonisation.","7-14 Great Dover Street, London",SE1 4YR,51.499869,-0.092964
REA,http://r-e-a.net,https://www.r-e-a.net/rea-logo-new.png,"We are a coalition built to be the voice for renewable energy and clean technology in the UK. We are the largest renewable energy and associated clean technology body in the UK, with member organisations representing every type of renewable energy.",,WC2B 6UJ,51.513898,-0.118609
Reading Community Energy Society Limited,https://readingenergy.coop/,https://communityenergyengland.org/files/img_cache/2233/340_260_1675867654_readingcommunity.png?1676051319,"Our mission is to accelerate the uptake of community-owned renewable energy in Reading and surrounds.

We own and operate 23 solar PV systems on roofs in and around Reading, with a combined capacity of over 600 kWp energy – enough to power the equivalent of 146 homes each year!

Our installations are funded through community share offers, enabling individuals and local organisations to support and benefit from our scheme. Since 2016, we have raised almost £600,000 – demonstrating the support and commitment for delivering renewable energy locally.",,RG1 1QH,51.45712,-0.96989
Reading Hydro CBS,https://readinghydro.org/,https://communityenergyengland.org/files/img_cache/1981/340_260_1669220526_ReadingHydroCIC.jfif?1669277061,"Reading Hydro CBS was set up to generate renewable, low-carbon electricity from the power of the River Thames. To achieve this we designed, financed, built and now operate a hydropower scheme beside Caversham weir in Reading. Construction started in Autumn 2020, and the plant has been generating electricity since September 2021.  

Reading Hydro is a Community Benefit Society (CBS). This is a type of not-for-profit business that is registered with the Financial Conduct Authority. Our main objective is to reduce carbon emissions by providing renewable electricity, financed by community investment. We are also committed to raising awareness of the benefits of low-carbon energy and other environmental issues.

We receive income by selling our electricity to a local business and from the feed-in-tariff (FIT). This covers our operating costs and provides a modest return to investors. Any financial surplus that we make will be returned to the community as grants for environmental projects.",,RG1 8BP,51.460763,-0.964722
Regen,https://www.regen.co.uk/,https://communityenergyengland.org/files/img_cache/1980/340_260_1669220499_Regen.jpg?1669232232,"Regen provides independent, evidence-led insight and advice in support of our mission to transform the UK’s energy system for a net zero future. We focus on analysing the systemic challenges of decarbonising power, heat and transport. We know that a transformation of this scale will require engaging the whole of society in a just transition.

The whole-system people: We apply our expertise to the whole energy system to advocate for a fast and fair transition to net zero.

Independent and purpose-driven: As a non-profit we use our evidence-based analysis to push for change wherever we believe it’s necessary.

At the heart of a network: By drawing together diverse organisations and viewpoints, Regen offers grounded insight into the complex – and often overlooked – challenges and opportunities of the energy transition.",,EX4 3PL,50.725772,-3.52906
Renewable Exchange,https://renewable.exchange/,https://communityenergyengland.org/files/img_cache/2936/340_260_1750172379_renewableexchange.jpg?1750180587,"The PPA Marketplace: We connect renewable energy generators to the whole market of PPA offtakers through our industry-leading platform, coupled with expert consultancy.",,BS1 6JG,51.452081,-2.59019
Repower Balcombe,http://repowerbalcombe.com,https://www.repowerbalcombe.com/wp-content/uploads/2014/01/Repower-Balcombe-mini-logo-for-twitter-and-facebook-150x150.jpg,"Our original mission was simple: to generate the equivalent of 100% of Balcombe’s electricity demand through community-owned locally-generated renewable energy. With the obtaining of planning permission for the solar array at Chiddinglye Farm, we achieved this total generation, but unfortunately we did not own the project. So not ‘community-owned’.

However, we have continued to install solar PV on new sites, and are always on the lookout for new potential projects.

Currently we have funded 6 solar projects on schools, including arguable the UK’s schools first solar /battery combination at Turners Hill Primary School.

In addition, through our Community Benefit Fund, we have supplied energy-saving equipment (LED lights, for instance) to community buildings and local schools. We have installed batteries in a local school (to store the electricity from the solar PV we installed on their roof). We have provided a local community with a Community Fridge, to reduce food waste.",,RH17 6JN,51.04222,-0.14188
Repowering Communities,,,,,,,
Repowering London,http://repowering.org.uk,https://communityenergyengland.org/files/img_cache/1979/340_260_1672739599_New2023repoweringLondonLogo.png?1672742317,"At Repowering London, we are Creating Local Energy and putting people at the heart of the energy system. We provide much more than low-carbon energy to the communities we work with. We deliver a unique programme that includes social, financial and educational opportunities.",,SW9 9SP,51.464706,-0.115104
Riding Sunbeams,https://www.ridingsunbeams.org/,https://communityenergyengland.org/files/img_cache/2235/340_260_1675867814_ridingsunbeams.jpg?1675937031,"“Our vision is to power railways with unsubsidised, direct-wire renewable generation whilst delivering significant social impact for line-side communities.”

Riding Sunbeams is a world-leading innovator, focussed on decarbonising rail traction networks through the development and connection of solar, wind and energy storage assets.

Direct supply of solar power to rail traction systems had never been done. But it has huge potential - from metros, trams and railways in the UK and around the world.  After extensive feasibility work and research, we connected the first pilot solar panels to the railway in 2019.  

Next we’ll go bigger, offering shares in solar farms to communities and commuters, so that local people will own and benefit from the clean energy powering their trains.  

Get on board - here comes the sun! ",,CV47 1PE,52.251292,-1.387347
River Ivel Community Energy Limited,https://riverivelcommunityenergy.com/,https://riverivelcommunityenergy.com/wp-content/uploads/2024/07/logo_web.gif?w=394&h=158,"Who are we? We are a cooperative dedicated to helping our local communities cut their heating bills and transition to renewable energy.  River Ivel Community Energy is a new group supported by Central Bedfordshire Council and Community Energy South.

What do we do? At River Ivel Community Energy, we're actively working to reduce energy costs and build a sustainable energy future for the Ivel Valley. Through local partnerships and hands-on initiatives, we provide expert guidance on energy-saving practices, lead projects to install renewable energy technologies, and collaborate on energy planning tailored to the community's unique needs. By doing this, we help local residents, businesses, and organisations transition to affordable and sustainable energy solutions that benefit everyone.","4 Mill Lane, Langford, Biggleswade, Central Bedfordshire",SG18 9QB,52.058174,-0.27304
Rossendale Valley Energy,https://rvenergy.org.uk/,https://communityenergyengland.org/files/img_cache/2467/340_260_1696927431_RossendaleValleyEnergy.png?1696927637,"A community-owned renewable energy group empowering local people to help make fuel more affordable and create warmer homes. We want to bring people together from all walks of life to deliver community-owned green energy, warmer homes and help make it affordable for everyone.",,BB4 7LS,53.701531,-2.283727
Saddleworth Community Hydro Ltd,http://saddleworthhydro.co.uk,"https://static.wixstatic.com/media/d94146_d0e8392d795d4c2cb01dc27dd7270b06~mv2.png/v1/fill/w_130,h_130,al_c,lg_1,q_85,enc_avif,quality_auto/SHC%20logo%20web.png","Saddleworth Community Hydro Ltd generates enough sustainable electricity to power about 100 homes via the national grid, with an annual saving of 170 tonnes of  CO2. We are situated at Dove Stone Reservoir, Greenfield, Oldham OL3 7NE

The dam height of 31m allows the use of a cross flow turbine driven by the continuous supply of compensation water flowing from the reservoir into Chew Brook to generate up to 51 kW for the next forty years or so. This is the first high head system in England to use an existing dam.",,OL3 6AJ,53.547054,-2.005576
Salisbury Community Energy Limited,http://www.salisburycommunityenergy.co.uk/,https://files.uk2sitebuilder.com/c9/ee/c9eeb841-38b5-4858-9970-78b5fa1c6343.jpg,"Salisbury Community Energy (SCE) is a local not-for-profit community benefit society that was set-up in 2017 to help Salisbury decarbonise and manage the threats posed by climate change.

It has completed, with its partner Schools Energy Cooperative, five solar PV installations across Salisbury totalling 206kW of capacity that will reduce Salisbury’s emissions by 97 tonnes.

In July 2020, the fifth installation was completed, which is none other than Salisbury Cathedral!",,SP1 3AL,51.073341,-1.789704
Sandford Hydro CIC,https://www.lowcarbonhub.org/p/projects/sandford-hydro/,https://www.lowcarbonhub.org/wp-content/themes/lch-wp/assets/images/logo.svg,"The Sandford hydroelectric plant uses three Archimedes screws (similar to the one currently in operation at Osney Lock Hydro) to generate electricity from the flow of the river water.

Sandford Hydro has an installed capacity of 485kW and the potential to power over 500 households each year, or most of Sandford!",,OX2 0ES,51.748149,-1.273774
SaveEnergy CBS Ltd,http://www.saveenergy.coop/,https://saveenergy.coop/wp-content/uploads/2024/10/SaveEnergy-Full-Colour-Logo.png,"Creating warm homes, lowering bills, reducing carbon emissions.",,SL6 8QG,,
Scene Connect,http://scene.community/,https://images.squarespace-cdn.com/content/v1/536b92d8e4b0750dff7e241c/1455550086647-H1OHDUOOT31I5OSR2Q0J/Scene_colour_web.png?format=400w,"We are a Social Enterprise focused on strengthening communities through consultancy, research and the development of low-carbon ICT products. We work across the renewable energy, carbon management, and energy access sectors.

Founded in Edinburgh in 2011, we have built a reputation as one of UK's foremost community energy organisations and have developed a suite of ICT products which are being commercialised through affiliated companies Inclusive Energy and Farm-Hand.

Since we began, our core mandate has been to address the climate emergency through citizen-led renewable energy initiatives. We help non-specialists to understand their climate impacts and to develop their own energy solutions.

Scene has offices in Edinburgh, and  Liverpool  - with projects ongoing in countries around the world. To find out more about our ongoing work and past projects, take a look at our Projects Timeline.",,EH3 9DR,55.946941,-3.201752
Schools Energy Co-operative,http://schools-energy-coop.co.uk/,https://communityenergyengland.org/files/img_cache/1974/340_260_1669220257_Schoolsenergycoop.png?1669287358,"The Schools' Energy Co-operative has two missions: to reduce carbon dioxide emissions and to save schools money on their electricity bills.

What We Do: We install community-funded solar PV systems at no cost to our member schools.

We have installed solar on more than 100 rooftops across England already. These systems are expected to save 40,000 tonnes of carbon dioxide during their lifetime.

We estimate that together, our schools are saving over half a million pounds every year on their electricity bills.",,LA14 2PN,54.118489,-3.24165
Scottish and Southern Electricity Networks,,https://communityenergyengland.org/files/img_cache/1918/340_260_1688409534_SSENlogo2023.png?1688446381,,,,,
SE1 Solar,http://se1.solar/,https://communityenergyengland.org/files/img_cache/2393/340_260_1687440428_SE1SolarLogo.png?1687440436,"Our mission is to fight fuel poverty by generating local, renewable power. We are SE1 Solar, a community benefit society based in London. We install solar panels on unused roof spaces in our neighbourhood. Local businesses buy this green power, helping them cut their carbon emissions. And we use the profits to help people in our community living in fuel poverty.  

We're looking for volunteers and organisations who can help us with our ambitious plans. Will you join us on our journey? ",,SE1 3RW,51.500723,-0.085811
