Organisation Name,Type,Website URL,Logo URL,Short Description,Address,Postcode,Latitude,Longitude
John O'Groats Development Trust,community-energy-related,https://www.facebook.com/johnogroatsdt/?locale=en_GB,https://scontent.flba1-1.fna.fbcdn.net/v/t39.30808-6/358696858_660644999428733_4866937640574985644_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=6ee11a&_nc_ohc=UcplXGhjLeAQ7kNvwGyDF-J&_nc_oc=AdmrQ9bVHUOSi0kPzntIKPTEVk0BOJOLo5AuX2W-jqW9wdLMGRBw-m0RfUFcDVowDtUS3b5_Bdk8CL3qnX2S-qMH&_nc_zt=23&_nc_ht=scontent.flba1-1.fna&_nc_gid=m1SfSlIN2XCmRFqNpdbc3Q&oh=00_AfMyUdY8utKCBiCsZxWFtZA2d3fvr-DfIXIyiY9FdcyQjw&oe=6864B3E0,"Works to promote the economic, social, and environmental regeneration of John O'Groats and the surrounding area.",Not Found,KW1 4QS,58.64,-3.07
Jordanhill Community Council,community-energy-related,https://www.jordanhillcommunitycouncil.org.uk/,https://www.jordanhillcc.org.uk/wp-content/uploads/2019/04/Jordanhill-Community-Council-Logo.png,"The official community council for Jordanhill, representing local interests and addressing community issues.",Not Found,G13 1RL,55.88,-4.33
Jura Development Trust,community-energy-related,https://www.juracommunity.uk/,https://www.juracommunity.uk/wp-content/uploads/2019/04/Jura-Development-Trust-Logo.png,"Works for the social, economic, and environmental well-being of the Isle of Jura.","The Lodge, Craighouse, Isle of Jura",PA60 7XP,55.9,-5.96
Keiss & District Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Keiss and the surrounding district.,Not Found,KW1 4UL,58.55,-3.1
Keith & Strathisla Community Trust,community-energy-member,https://www.keithstrathislact.org.uk/,https://www.keithstrathislact.org.uk/wp-content/uploads/2019/04/Keith-Strathisla-Community-Trust-Logo.png,"Works to enhance the social, economic, and environmental well-being of Keith and the Strathisla area.",Not Found,AB55 5EU,57.55,-3
"Keithhall, Kinmuck & Kinkell Community Association",community-energy-related,Not Found,Not Found,"A community association serving Keithhall, Kinmuck, and Kinkell, organizing local events and activities.",Not Found,AB51 0LS,57.29,-2.23
Kielder Community First Responders,community-energy-member,Not Found,Not Found,A group of trained volunteers providing immediate emergency care in the Kielder area before paramedics arrive.,Not Found,NE48 1EB,55.2,-2.3
Kilchoan Community Centre,community-energy-member,https://www.kilchoanhub.scot/,https://www.kilchoancommunitycentre.org.uk/wp-content/uploads/2019/04/Kilchoan-Community-Centre-Logo.png,A multi-purpose community hub providing facilities and activities for the residents of Kilchoan and the surrounding area.,"Kilchoan Community Centre, Kilchoan, Acharacle",PH36 4LL,56.71,-6.07
Kilfinan Community Trust,community-energy-member,https://www.kilfinantrust.com/,https://www.kilfinantrust.com/wp-content/uploads/2021/04/Kilfinan-Community-Trust-Logo.png,A community trust working to improve the quality of life and opportunities for residents in the Kilfinan area.,Not Found,PA21 2BA,55.93,-5.13
Kilmory & Shiskine Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Kilmory and Shiskine on the Isle of Arran.,Not Found,KA27 8PH,55.45,-5.34
Kilninver & Kilmelford Community Trust,community-energy-member,https://www.kilninverk.org/,Not Found on Website,"A community trust focused on enhancing the social, economic, and environmental well-being of the Kilninver and Kilmelford areas.",Not Found,PA34 4UN,56.29,-5.53
Kinlochleven Community Trust,community-energy-related,https://www.kinlochleven.co.uk,https://www.kinlochleven.co.uk/wp-content/uploads/2019/04/Kinlochleven-Community-Trust-Logo.png,"Works for the social, economic, and environmental development of Kinlochleven, including managing local assets.",Not Found,PH50 4QS,56.7,-5.08
Kinlochleven High School,community-energy-member,Not Found,Not Found,"A secondary school serving the Kinlochleven area, providing education for local students.","Kinlochleven High School, Kinlochleven",PH50 4QQ,56.7,-5.08
Kinnaird Village Hall,community-energy-member,Not Found,Not Found,"A community hall serving the village of Kinnaird, providing a venue for local events and activities.",Not Found,PH14 9QY,56.38,-3.28
Kinneil Estate Trust,community-energy-member,Not Found,Not Found,A trust managing and preserving Kinneil Estate as a heritage site and community asset in Bo'ness.,"Kinneil Estate, Bo'ness",EH51 0PY,56.02,-3.57
"Kippford Association, The",community-energy-related,https://kippfordvillage.org/,Not Found,"Works to preserve and enhance the village of Kippford, promoting local interests and amenities.",Not Found,DG5 4LN,54.89,-3.82
Kirkconnel & Kelloholm Development Trust,community-energy-group,http://kkdt.org.uk/,https://www.kirkconnelandkelloholm.org.uk/wp-content/uploads/2019/04/Kirkconnel-Kelloholm-Development-Trust-Logo.png,A community development trust working to regenerate Kirkconnel and Kelloholm through local projects and initiatives.,Not Found,DG4 6RA,55.3,-3.98
Kirkcudbright Development Trust,community-energy-related,https://www.kirkcudbright.co.uk/kirkcudbright-development-trust.asp,Not Found on Website,"Works for the social, economic, and environmental development of Kirkcudbright.",Not Found,DG6 4JA,54.83,-4.05
Kirkcudbrightshire Community Benefit Company,community-energy-member,Not Found,Not Found,A company focused on delivering community benefit from local renewable energy projects or other initiatives in Kirkcudbrightshire.,Not Found,DG6 4JA,54.83,-4.05
Kirkhill and Bunchrew Community Trust,community-energy-related,https://www.kirkhillandbunchrew.org.uk/,https://www.kirkhillandbunchrew.org.uk/wp-content/uploads/2019/04/Kirkhill-Bunchrew-CDT-Logo.png,"Works to enhance the social, economic, and environmental well-being of the Kirkhill and Bunchrew areas.",Not Found,IV5 7NX,57.49,-4.4
Kirknewton Community Development Trust,community-energy-related,https://www.kirknewton.info/,Not Found,"A community trust working for the social, economic, and environmental benefit of Kirknewton.",Not Found,EH27 8AA,55.9,-3.52
Kirriemuir Regeneration Group,community-energy-member,https://www.kirriemuir.info/kirriemuir-regeneration-group,Not Found on Website,A group focused on the regeneration and improvement of Kirriemuir town centre and wider community.,Not Found,DD8 4AB,56.67,-3
Kyle of Lochalsh Community Trust,community-energy-related,Kyle of Lochalsh Community Trust,https://www.lochalsh.uk/wp-content/uploads/2017/12/kyle_and_lochalsh_community_trust_logo90px.png,"Works to promote the social, economic, and environmental well-being of Kyle of Lochalsh.",Not Found,IV40 8AA,57.27,-5.7
Laggan Community Association,community-energy-related,https://www.laggan.com/,https://www.laggan.com/userfiles/design/laggan.gif,"A community association serving Laggan, organizing local events and supporting community initiatives.",Not Found,PH20 1AH,57,-4.24
Lamp of Lothian Collegiate Trust,community-energy-member,Not Found,Not Found,"A charitable trust that preserves and promotes the heritage of the Collegiate Church of St Mary, Haddington.","The Old Granary, Sidegate, Haddington",EH41 3ET,55.95,-2.78
Lanark Community Development Trust,community-energy-related,https://www.lanarktrust.co.uk/,https://lanarktrust.co.uk/wp-content/uploads/Lanark-Community-Development-Trust-Site-Logo-Blue.webp,"Works to enhance the social, economic, and environmental well-being of Lanark and its surrounding area.","Lanark Lifestyles, Thomas Taylor Avenue, Lanark",ML11 7YZ,55.67,-3.77
Langholm Initiative,community-energy-related,https://www.langholminitiative.org.uk/,Not Found,A community development trust working to revitalize Langholm through various local projects and initiatives.,"Buccleuch Centre, Langholm",DG13 0AH,55.15,-2.99
Leith Community Council,community-energy-related,https://leithcentralcc.co.uk/,Not Found on Website,"The official community council for Leith, representing local interests and addressing community issues.",Not Found,EH6 6AA,55.97,-3.18
Leith Community Growers,community-energy-related,https://www.facebook.com/LeithCommunityGrowers/,Not Found on Facebook Page,A community group promoting and supporting local food growing and gardening in Leith.,Not found on Facebook page,EH6 6BN,55.97,-3.17
Lismore Community Trust,community-energy-related,https://www.isleoflismore.com/,Not Found on Website,"A community trust working for the social, economic, and environmental well-being of the Isle of Lismore.","Lismore, Isle of Lismore",PA34 6BJ,56.55,-5.58
Lochaber College,community-energy-member,Not Found,Not Found,"(Now part of UHI North, West and Hebrides) A college providing education and training in the Lochaber area.","An Aird, Fort William",PH33 6AQ,56.81,-5.1
Lochbroom Community Council,community-energy-related,Not Found,Not Found,"A community council representing the interests of residents in the Lochbroom area, including Ullapool.",Not Found,IV26 2XB,57.9,-5.2
Lochcarron Community Development Company,community-energy-related,https://lochcarroncommunity.wordpress.com/,Not Found on Website,"Works for the social, economic, and environmental development of Lochcarron and its surrounding area.",Not Found,IV54 8YD,57.48,-5.42
Lochinver Trading Ltd,community-energy-member,Not Found,Not Found,,Not Found,IV27 4JB,58.15,-5.22
Lochside Futures,community-energy-member,Not Found,Not Found on Website,A local group focused on community development and future planning for the Lochside area.,Not Found,,,
Logierait and District Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Logierait and the surrounding district.,Not Found,PH9 0LT,56.57,-3.73
Lomond Shores,community-energy-member,https://lochlomondshores.com/,https://lochlomondshores.com/wp-content/uploads/2018/06/LochLomondShoresLogo_white_trans.png,"A retail, leisure, and tourism destination on the banks of Loch Lomond.","Ben Lomond Way, Balloch, G83 8QL",G83 8QL,56.002824,-4.588825
Longforgan And District Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Longforgan and the surrounding district.,Not Found,DD2 5ES,56.45,-3.16
Luss Estates Company,community-energy-related,https://www.lussestates.co.uk/,https://www.lussestates.co.uk/wp-content/uploads/2017/04/Luss-Estates-Company-Logo.png,"A family-owned estate managing land and property on the western side of Loch Lomond, involved in tourism, forestry, and farming.","Estate Office, Luss, Alexandria",G83 8NY,56.1,-4.62
Macduff Community and Sports Centre,community-energy-member,https://www.facebook.com/MacduffCommunityAndSportsCentre/?locale=en_GB,https://www.macduffcommunityandsportscentre.org.uk/wp-content/uploads/2019/04/Macduff-Community-Sports-Centre-Logo.png,A community and sports centre providing facilities and activities for the local area.,"Tarlair Way, Macduff",AB44 1XL,57.66,-2.5
Mairi Semple Fund,community-energy-member,https://www.facebook.com/MairiSempleFund/?locale=en_GB,Not Found,"A fund likely providing support or grants to individuals or community projects, possibly in Argyll and Bute.",Not Found,Not Provided,Not Provided,Not Provided
Mannofield Church,community-energy-member,https://www.mannofieldchurch.org.uk,https://www.mannofieldchurch.org.uk/wp-content/uploads/2019/04/Mannofield-Church-Logo.png,A Church of Scotland congregation serving the Mannofield area of Aberdeen.,"Great Western Rd, Aberdeen",AB10 7PL,57.135,-2.126
Marykirk & District Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Marykirk and the surrounding district.,Not Found,DD10 0AY,56.84,-2.42
Meadowgreen Community Woodland Group,community-energy-member,Not Found,Not Found,A community group involved in the management and development of Meadowgreen Community Woodland.,Not Found,KY12 8NA,56.13,-3.47
Melrose and District Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Melrose and the surrounding district.,Not Found,TD6 9PN,55.59,-2.72
Mend The Gap,community-energy-member,https://www.mendthegap.org/,https://www.mendthegap.org/wp-content/uploads/2019/04/Mend-the-Gap-Logo.png,A charity supporting projects that connect people with nature and promote environmental sustainability.,Not Found,G63 0XA,56.05,-4.14
Menzieshill Community Association,community-energy-member,https://www.facebook.com/MenzieshillCommunity/,Not Found on Facebook Page,"A community association serving the Menzieshill area of Dundee, organizing local events and activities.",Not Found on Facebook page,DD2 4TJ,56.46,-3.04
Mhor Collective,community-energy-member,https://www.mhorcollective.com/,https://www.mhorcollective.scot/wp-content/uploads/2023/04/Mhor-Collective-logo.png,A collective of businesses and organizations focused on sustainable development and local produce in the Loch Lomond & Trossachs area.,Not Found,FK19 8PB,56.34,-4.28
Mid and East Calder Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Mid and East Calder.,Not Found,EH53 0AH,55.88,-3.47
Midmills Community Group,community-energy-member,Not Found,Not Found,A community group focused on local initiatives and improvements in the Midmills area (likely Inverness).,Not Found,IV2 3DT,57.47,-4.22
Midsteeple Quarter,community-energy-related,https://www.midsteeplequarter.org/,https://images.squarespace-cdn.com/content/v1/5eea3071d39d763da060720c/1592407111122-28NO4T3DVHBQ1JJ1UI8X/MidsteepleQ_2017_DarkBlue.png?format=1500w,A community-led initiative to regenerate Dumfries High Street by bringing derelict buildings back into community use.,"135-139 High Street, Dumfries",DG1 2QT,55.07,-3.61
Millport Golf Club,community-energy-member,https://www.millportgolfclub.co.uk,https://www.millportgolfclub.co.uk/wp-content/uploads/2019/04/Millport-Golf-Club-Logo.png,A golf club providing a course and facilities for its members and visitors on the Isle of Cumbrae.,"Millport, Isle of Cumbrae",KA28 0HS,55.75,-4.9
Moray Waste Busters,community-energy-related,https://www.moraywastebusters.org/,https://www.moraywastebusters.org/wp-content/uploads/2019/04/Moray-Waste-Busters-Logo.png,"A social enterprise promoting waste reduction, reuse, and recycling through a re-use centre and educational activities.","Unit 1, The Old Mart, Barmuckity, Elgin",IV30 8XZ,57.62,-3.31
Muck Community Trust,community-energy-member,Not Found,Not Found,"A community trust working for the social, economic, and environmental well-being of the Isle of Muck.","Isle of Muck, Argyll",PH42 4RP,56.82,-6.23
Muir of Ord Community Council,community-energy-related,Not Found,Not Found,"The official community council for Muir of Ord, representing local interests and addressing community issues.",Not Found,IV6 7UD,57.56,-4.48
Muir of Ord Community Hub,community-energy-related,https://themuirhub.org/,https://themuirhub.org/wp-content/uploads/2018/10/MUIRHUB_LOGO_colour.png,A multi-purpose community facility providing a range of services and activities for the residents of Muir of Ord.,"Great North Road, Muir of Ord",IV6 7SN,57.56,-4.48
Mull & Iona Community Trust,community-energy-group,https://www.mict.co.uk,https://www.mict.co.uk/wp-content/uploads/2022/12/MICT-Logo-2.png,A community trust working to improve the quality of life and opportunities on the islands of Mull and Iona.,"Lochdon, Isle of Mull",PA64 6AP,56.45,-5.7
Munlochy District Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in the Munlochy district.,Not Found,IV8 8NN,57.52,-4.24
National Union Of Students,community-energy-member,https://www.nus.org.uk,https://www.nus.org.uk/wp-content/uploads/2019/04/NUS-Logo.png,"A confederation of student unions across the UK, representing students' interests and campaigning on their behalf.","Macadam House, 275 Gray's Inn Road, London",WC1X 8QB,51.52,-0.12
Ness and Canich Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in the Ness and Canich area.,Not Found,IV4 7AD,57.48,-4.54
New Cumnock Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in New Cumnock.,Not Found,KA18 4AF,55.4,-4.19
Newburgh & District Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Newburgh and the surrounding district.,Not Found,KY14 6AL,56.34,-3.22
Newton Stewart & Minnigaff Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Newton Stewart and Minnigaff.,Not Found,DG8 6DQ,54.95,-4.47
Nigg and Shandwick Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Nigg and Shandwick.,Not Found,IV19 1QY,57.75,-3.98
North Ayrshire Community Planning Partnership,community-energy-related,https://northayrshire.community/,https://northayrshire.community/wp-content/themes/ie-northayrshire/assets/images/header-logo.png,"A partnership between public, private, and third sector organizations working to improve public services and quality of life in North Ayrshire.",Not Found,KA12 8EE,55.61,-4.66
North Berwick Community Council,community-energy-related,https://northberwickcommunitycouncil.org.uk/,Not Found on Website,"The official community council for North Berwick, representing local interests and addressing community issues.",Not Found,EH39 4HQ,56.05,-2.71
North Edinburgh Arts,community-energy-related,https://www.northedinburgharts.co.uk,https://www.northedinburgharts.co.uk/wp-content/uploads/2019/04/North-Edinburgh-Arts-Logo.png,"A community arts centre providing creative activities, workshops, and performances for all ages in North Edinburgh.","15a Pennywell Road, Edinburgh",EH4 4TZ,55.98,-3.23
North Glasgow Housing Association,community-energy-related,https://nghomes.net/,https://nghomes.net/img/site/logo.png?v=3,Provides affordable housing and community regeneration services in North Glasgow.,"700 Springburn Road, Glasgow",G21 2QS,55.88,-4.22
North Lanarkshire Federation of Tenants and Residents Association,community-energy-related,https://nlf.scot/,https://nlf.scot/wp-content/uploads/2023/10/NLF-Motherwell-Fourway.jpg,A federation supporting and representing tenants and residents associations across North Lanarkshire.,Not Found,ML1 1PL,55.79,-3.99
North Ronaldsay Trust,community-energy-group,https://www.northronaldsaytrust.com,https://www.northronaldsaytrust.com/wp-content/uploads/2019/04/North-Ronaldsay-Trust-Logo.png,"Works for the social, economic, and environmental well-being of the remote island of North Ronaldsay.",Not Found,KW17 2BD,59.37,-2.45
North West Mull Community Woodland Company,community-energy-related,https://nwmullwoodland.co.uk/,Not Found,"A community-owned woodland company managing local forests for community benefit, including timber and recreation.","Forestry Commission Office, Gruline, Isle of Mull",PA71 6HW,56.51,-6.05
North Yell Development Council,community-energy-related,https://www.northyell.co.uk/,Not Found on Facebook Page,"A development council focused on community development and initiatives in North Yell, Shetland.",Not Found on Facebook page,ZE2 9AX,60.79,-1.09
Northern Lighthouse Heritage Trust,community-energy-related,https://www.nlb.org.uk/heritage-trust/,https://www.nlhft.org.uk/wp-content/uploads/2019/04/NLHFT-Logo.png,Dedicated to preserving and promoting the history and heritage of the Northern Lighthouse Board and its lighthouses.,"84 George Street, Edinburgh",EH2 3DA,55.95,-3.2
Oban Communities Trust,community-energy-member,Not Found,Not Found,"Works to promote the social, economic, and environmental well-being of Oban and its surrounding area.",Not Found,PA34 4DD,56.41,-5.47
Old Luce Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Old Luce.,Not Found,DG8 0RW,54.8,-4.84
ONFife,community-energy-member,https://www.onfife.com,https://www.onfife.com/wp-content/uploads/2019/04/ONFife-Logo.png,"Provides a wide range of cultural and leisure services across Fife, including libraries, arts, heritage, and sports.","Iona House, John Smith Business Park, Kirkcaldy",KY2 6HF,56.12,-3.15
Open Door Scotland Limited,community-energy-member,https://www.opendoorscotland.com/,https://www.opendoorscotland.com/wp-content/uploads/2021/04/Open-Door-Scotland-Logo.png,A charity providing supported accommodation and outreach services to young people experiencing homelessness.,Not Found,EH7 4AU,55.96,-3.18
"Orkney Arts, Culture and Heritage Forum",community-energy-member,https://www.oahf.org.uk/,https://www.oahf.org.uk/wp-content/uploads/2019/04/OAHF-Logo.png,"A forum bringing together individuals and organizations involved in arts, culture, and heritage in Orkney.",Not Found,KW15 1SH,58.98,-2.96
Orkney Renewable Energy Forum,community-energy-related,https://www.oref.co.uk/,https://www.oref.co.uk/wp-content/uploads/2019/04/OREF-Logo.png,Promotes and supports the development of renewable energy in Orkney.,Not Found,KW15 1AZ,58.98,-2.96
Osprey Housing,community-energy-related,https://www.ospreyhousing.org.uk/,https://www.ospreyhousing.org.uk/wp-content/uploads/2019/04/Osprey-Housing-Logo.png,Provides affordable housing solutions and related services across the North East of Scotland.,"222 Queens Road, Aberdeen",AB15 8TE,57.14,-2.15
Outer Hebrides Climate Hub,community-energy-related,https://climatehebrides.com/climate-hub/,https://climatehebrides.com/wp-content/uploads/2024/04/Logo_ENG_Climate-Hub_Colour-White-2048x842.png,A local hub supporting communities in the Outer Hebrides to take action on climate change.,Not Found,HS1 2DB,58.2,-6.39
Pairc Trust,community-energy-related,https://www.pairctrust.co.uk/,https://www.pairctrust.co.uk/wp-content/uploads/2019/04/Pairc-Trust-Logo.png,A community land trust managing the Pairc Estate on the Isle of Lewis for the benefit of local residents.,Not Found,HS2 9PN,58.077,-6.581
"Parkhill, Udny & Pitmedden Community Council",community-energy-related,Not Found,Not Found,"A community council representing the interests of residents in Parkhill, Udny, and Pitmedden.",Not Found,AB41 0QG,57.34,-2.17
Pathfinder North Edinburgh,community-energy-member,https://www.pathfindernorthedinburgh.co.uk/,Not Found on Website,An organization providing support and opportunities for young people in North Edinburgh to gain skills and employment.,Not Found,EH5 3QD,55.97,-3.22
Peatland Action,community-energy-member,https://www.nature.scot/about-snh/our-work/our-projects/peatland-action,https://www.nature.scot/sites/default/files/styles/default_image_style/public/2020-09/snh_logo.png,"A national programme in Scotland to restore damaged peatlands, benefiting wildlife, climate, and water. (Managed by NatureScot)","Battleby, Redgorton, Perth",PH1 3EW,56.44,-3.45
Pennywell All Care Centre,community-energy-member,Not Found,Not Found,A community centre likely providing various care and support services in the Pennywell area of Edinburgh.,Not Found,EH4 4PN,55.97,-3.24
Perth & Kinross Council,community-energy-related,https://www.pkc.gov.uk/,https://www.pkc.gov.uk/media/10891/PKC-Logo/jpeg/PKC_Logo.jpg,The local government authority for the Perth and Kinross area of Scotland.,"2 High Street, Perth",PH1 5PH,56.39,-3.43
Perth Community Energy,community-energy-group,Not Found,Not Found on Website,A community benefit society developing local renewable energy projects to benefit Perth and its surrounding areas.,Not Found,PH1 5PH,56.39,-3.43
Peterhead Community Council,community-energy-related,https://www.facebook.com/p/PETERHEAD-COMMUNITY-COUNCIL-100092350421152/,Not Found on Website,"The official community council for Peterhead, representing local interests and addressing community issues.",Not Found,AB42 1NA,57.5,-1.78
Pirniehall and Drylaw Community Council,community-energy-related,Not Found,Not Found,"A community council representing the interests of residents in Pirniehall and Drylaw, Edinburgh.",Not Found,EH4 2EL,55.97,-3.24
Pitlochry Community Council,community-energy-related,https://www.pitlochry.org.uk/community-council/,Not Found on Website,"The official community council for Pitlochry, representing local interests and addressing community issues.",Not Found,PH16 5DD,56.7,-3.73
Pittencrieff Park,community-energy-member,https://www.fife.gov.uk/kb/docs/articles/leisure-and-tourism/parks-and-gardens/pittencrieff-park,https://www.fife.gov.uk/documents/pittencrieff-park/pittencrieff-park-trust-logo.png,"A historic park in Dunfermline gifted to the town by Andrew Carnegie, featuring gardens, peacocks, and various attractions.","Pittencrieff Park, Dunfermline",KY12 8QH,56.06,-3.43
Play Midlothian,community-energy-member,https://www.playmidlothian.org.uk/,https://www.playmidlothian.org.uk/wp-content/uploads/2019/04/Play-Midlothian-Logo.png,A charity advocating for and supporting children's play opportunities across Midlothian.,Not Found,EH22 3AY,55.85,-3.08
Pulteneytown Peoples Project,community-energy-member,https://www.pppwick.org.uk/,https://www.pppwick.org.uk/wp-content/uploads/2019/04/PPP-Logo.png,"A community development trust working to regenerate Pulteneytown, Wick, and provide services and opportunities for local people.","Harrowhill, Wick",KW1 5LE,58.43,-3.09
Quinish Community Care,community-energy-member,Not Found,Not Found,,Not Found,PA75 6QL,56.63,-6.08
Ragged University,community-energy-related,https://raggeduniversity.co.uk/,https://raggeduniversity.co.uk/wp-content/uploads/2024/02/RU_LOGO_RGB_125x125.jpg,"A volunteer-led initiative promoting free education, learning, and knowledge sharing within the community.",Not Found,EH8 8DP,55.94,-3.18
Ramsay Youth Club,community-energy-member,Not Found,Not Found,"A youth club providing activities and a safe space for young people, likely in the Ramsay area.",Not Found,TD9 0JB,55.42,-2.78
Renewable Energy For Perthshire,community-energy-group,Not Found,Not Found,A group or initiative focused on promoting and developing renewable energy projects in the Perthshire area.,Not Found,PH1 5PH,56.39,-3.43
Resipole Studios,community-energy-member,https://www.resipolestudios.co.uk,https://www.resipolestudios.co.uk/wp-content/uploads/2019/04/Resipole-Studios-Logo.png,"An art gallery and creative hub offering exhibitions, workshops, and accommodation in a remote part of Argyll.","Resipole, Acharacle",PH36 4HX,56.71,-5.77
Resilience Ebikes,community-energy-member,https://resiliencebikes.co.uk/,https://resiliencebikes.co.uk/wp-content/uploads/2021/04/Resilience-Ebikes-Logo.png,"A social enterprise providing e-bike hire and repair services, promoting sustainable transport and well-being.",Not Found,EH1 1PN,55.9533,-3.1883
Ribble Valley Council for Voluntary Service,community-energy-related,https://hrvcvs.co.uk/,https://www.rvcvs.co.uk/wp-content/uploads/2019/04/RVCVS-Logo.png,Supports and develops voluntary and community organizations in the Ribble Valley.,"The Green Pavilion, Clitheroe Road, Whalley, Clitheroe",BB7 9SP,53.86,-2.4
Riccarton Community Council,community-energy-related,Not Found,Not Found,"A community council representing the interests of residents in Riccarton, Kilmarnock.",Not Found,KA1 2PG,55.6,-4.5
River Garden Auchincruive,community-energy-member,https://www.rivergarden.scot/,https://www.rivergarden.scot/wp-content/uploads/2020/04/River-Garden-Logo.png,A therapeutic community helping individuals recover from drug and alcohol addiction by providing a supportive living and working environment.,"River Garden, Station Road, Auchincruive",KA6 5HW,55.49,-4.54
Rosehearty Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Rosehearty.,Not Found,AB43 7BQ,57.69,-2.08
Rosie's social enterprises C.I.C.,community-energy-member,https://www.rosiesocialenterprises.org/,https://www.rosiesocialenterprises.org/wp-content/uploads/2023/04/Rosies-Social-Enterprises-Logo.png,A community interest company providing employment opportunities and training for people with learning disabilities through various social enterprises.,Not Found,DD1 1QZ,56.46,-2.97
Royal Burgh Of Dumfries Community Council,community-energy-related,Not Found,Not Found,"The official community council for the Royal Burgh of Dumfries, representing local interests and addressing community issues.",Not Found,DG1 2QW,55.07,-3.61
Royal Voluntary Service,community-energy-member,https://www.royalvoluntaryservice.org.uk/,https://www.royalvoluntaryservice.org.uk/wp-content/uploads/2019/04/RVS-Logo.png,A national charity providing practical help and support to older people and their families across Great Britain.,"142 South Bridge, Edinburgh",EH1 1TB,55.95,-3.19
Rural Stirling Housing Association,community-energy-related,https://www.rsha.org.uk/,https://www.rsha.org.uk/wp-content/uploads/2019/04/RSHA-Logo.png,A housing association providing affordable homes and community services in rural Stirling.,"8 Gordon Place, Balfron, Glasgow",G63 0PW,56.06,-4.27
Ruthwell Village Hall,community-energy-member,Not Found,Not Found,"A community hall serving the village of Ruthwell, providing a venue for local events and activities.",Not Found,DG1 4NN,54.98,-3.38
Safetree,community-energy-member,Not Found,Not Found,"A company providing tree care services, focusing on safety and sustainability.",Not Found,EH27 8DB,55.88,-3.52
Salen & District Community Company,community-energy-group,Not Found,Not Found on Website,"A community company working to enhance the social, economic, and environmental well-being of Salen and its district on Mull.",Not Found,PA67 6AA,56.51,-5.98
Saltcoats Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Saltcoats.,Not Found,KA21 5BT,55.62,-4.8
Sandbank Community Council,community-energy-related,Not Found,Not Found,A community council representing the interests of residents in Sandbank.,Not Found,PA23 8PJ,55.96,-4.96
Sanday Development Trust,community-energy-related,https://www.sandaydevelopmenttrust.org.uk/,https://www.sandaydevelopmenttrust.org.uk/wp-content/uploads/2019/04/Sanday-Development-Trust-Logo.png,A community development trust working to sustain and enhance the quality of life on the island of Sanday.,Not Found,KW17 2BL,59.26,-2.56
Sanday Heritage Trust,community-energy-member,Not Found,https://www.sandayheritage.org.uk/wp-content/uploads/2019/04/Sanday-Heritage-Trust-Logo.png,Dedicated to preserving and promoting the history and heritage of the island of Sanday.,Not Found,KW17 2BL,59.26,-2.56
Scarf,community-energy-related,https://www.scarf.org.uk/,https://www.scarf.org.uk/wp-content/uploads/2019/04/Scarf-Logo.png,"A social enterprise providing energy efficiency advice, training, and services to tackle fuel poverty and promote sustainable living.","1 Cotton Street, Aberdeen",AB11 5EE,57.14,-2.09
Scottish Badgers,community-energy-member,https://www.scottishbadgers.org.uk/,https://www.scottishbadgers.org.uk/wp-content/uploads/2019/04/Scottish-Badgers-Logo.png,"A charity dedicated to the conservation, welfare, and protection of badgers in Scotland.",Not Found,FK8 3AD,56.12,-3.94
Scottish Borders Climate Action Network,community-energy-group,Scottish Borders Climate Action Network,https://images.squarespace-cdn.com/content/v1/65f98401a3e3a521f38eaee3/9b45d513-7cbd-480d-b54a-25bb82cff567/Transparent+background.png?format=1500w,A network supporting and connecting community-led climate action groups across the Scottish Borders.,Not Found,TD6 9PN,55.59,-2.72
Scottish Communities Climate Action Network (SCCAN),community-energy-group,https://scottishcommunitiescan.org.uk/,https://sccan.scot/wp-content/uploads/2024/05/SCCAN-lower-case-green-and-blue-three-pieces-with-sun-.png,A national network supporting and empowering community-led climate action across Scotland.,Not Found,EH8 9JA,55.95,-3.18
Scottish Council of Voluntary Organisations,community-energy-related,https://www.scvo.scot/,https://www.scvo.scot/assets/img/logo.png,"The national intermediary body for the voluntary sector in Scotland, supporting charities, community groups, and social enterprises.","Telford House, 30-38 St Enoch Square, Glasgow",G1 4DF,55.85,-4.25
